Size,BM,Const_t,Mktrf_t,SMB_t,HML_t,RMW_t,CMA_t
1,1,2.9047953587193946,5.337041763390908,4.176819717164305,-2.5304623637415227,1.5797674522497163,2.551897179041754
1,2,-0.6582837464578912,11.114272933218539,4.707478964734986,-4.217831073188378,1.761573451195678,3.570027022552143
1,3,-5.105734996671463,8.856259161629584,3.4719955688347865,-0.05283994283604097,-2.261905036346973,-1.2372498357463826
1,4,-2.8959372100833822,6.014258386211837,0.686778839423777,-0.8008636032594527,-3.1693996749065265,-1.6477078419374112
1,5,3.5934867418704464,10.57117015496467,-5.535992194284546,-7.179008548953077,0.5752134278771917,0.3542901303384927
2,1,0.4297640075826349,9.29123368909379,6.787307427486155,-0.7953374345882123,-0.005852759019239792,0.7847480563830964
2,2,-0.440795610306136,7.820988654767392,4.9983483074522495,-0.33533719879121177,-0.9215380607726521,-0.4023675853559878
2,3,-3.0587850765142783,6.208147116165993,2.601119570872747,0.751265899733384,-2.377037550487309,-1.7826944447472763
2,4,-1.1996001436790777,5.949490993196925,1.2341362279204935,0.733007576191715,-4.482582294686693,-2.9180718704669633
2,5,2.4653679421973456,2.6537970222161604,0.09910972406401626,-0.9231387515372607,0.21206042349220636,-0.56251230581384
3,1,0.46356672940231236,11.050817528153082,7.783827845804805,-1.7651913624084057,2.6632643515301035,1.8154844238515748
3,2,-1.041342826329248,7.855959610392,3.352789996700204,-0.7764346447091025,-1.3520301499211376,0.6484581730049263
3,3,-1.0519472565374435,8.29843448787514,3.702227349886691,0.6672834309981021,-2.632461718088644,-2.0258880003786657
3,4,-1.0679165659692422,5.0849487966007,1.3338083830125593,0.7657424294286008,-2.888062956813311,-2.0007388738666547
3,5,0.6760248274700729,5.951402723935879,-1.7870130414619518,-1.2642549159210614,-0.9948293909708587,-0.6458298466775387
4,1,0.7139498280670828,11.732788836909377,7.959287732743963,0.1439419438026133,-0.6225997913286713,-0.8057665667678846
4,2,1.5978910763951073,9.422649877717198,6.228182065107736,0.19925863760450316,-0.5229857262607153,-0.721119849826411
4,3,-0.6259122245536306,8.473106927922593,3.777841694281054,0.14553144565514511,-0.9701904569766343,0.04277375249758637
4,4,-0.7485426799992205,5.525545013197849,1.5774035477808415,1.047048363251425,-1.9327117097501123,-1.418629021082321
4,5,-0.2657886244906839,4.837312897419324,-0.6484337078038578,0.10885445076563698,-0.2567666954094311,-0.5160756886256417
5,1,1.6546722109837375,7.201711785153979,5.246449034476954,-0.5732130135145288,0.3845637271307084,0.23500143974566773
5,2,1.907016440500502,5.361256894660047,2.7555689045672174,0.20420391509569646,-1.8436893824263045,-0.6953259573701477
5,3,0.44859357336083283,7.897930121668424,2.8120644336708525,0.4878364087269809,-0.9982521225881397,1.125683912738941
5,4,0.31582582811115223,5.1449514702354495,0.9299502859081306,2.919103932350982,-4.054281441344066,-1.829304558803206
5,5,-1.2177909360087324,16.783283915575677,-3.1710904517281175,1.8312849761779706,2.7829819063205634,3.0162268943185837
