Size,Inv,Const,Mktrf,SMB,HML,RMW,CMA,R-squared
1,1,0.00917080161765307,0.9861261601587168,0.9871234114024482,-0.5860074234976346,0.22586023101214264,0.7882634123678083,0.9605922569091782
1,2,0.0049921979677250644,0.916613221466806,1.04532434826347,-0.07376154244626043,-0.3169918711290059,0.038612188278457416,0.9792033627078404
1,3,-0.007494183631272605,0.9961031592698348,0.5095068429211344,0.1305880883608259,-0.47789407684544616,0.045857188911726576,0.952356176249677
1,4,0.001028701175868352,0.8617147851025401,0.31453501302520726,0.31070996358600916,-0.9213230555329252,-0.1607359848805296,0.9289200588173481
1,5,-0.00810568412220429,1.2953837215697317,-0.10823371928781153,0.36706748166301595,-0.44426987620628033,0.17620921315915505,0.877505017804987
2,1,0.006133179986137376,1.022818660209451,1.0550700441560585,-0.6654899670841162,0.44723616083470397,0.7934804748109513,0.9812358149976829
2,2,0.0016619186387937948,0.8952528408707732,0.24688266794439054,-0.23094761110006712,-0.6146452192537171,0.3710387659206838,0.9369372311576492
2,3,-0.003655728580829875,0.8656215289203767,0.4292445421382713,0.19136402845818,-0.7429341905234823,-0.1876390109219062,0.9552056892900959
2,4,-0.01043309714926989,0.817991031842385,0.15263395301483212,0.6690691220691626,-1.3108016174283368,-0.8469309805181819,0.9128989073480874
2,5,-0.0008374704261824742,0.8238964824866265,-0.4789342081842861,-0.1676071991717223,0.2812114695994623,0.9666510383934532,0.8880915246811325
3,1,0.005835230142303085,1.003249499564599,1.1385830819185512,-0.17629703860471319,0.13405603392348908,0.05299042348044025,0.974632926770902
3,2,-0.002065972794021048,1.0292973387350948,0.7280877119536081,-0.278184897800693,-0.10224601430244125,0.17162836926673275,0.9541675934240853
3,3,-0.005288132919342127,0.930949815455831,0.49664067981121696,0.024870788475964634,-0.3553040682972785,-0.19918015492267077,0.9250817977705589
3,4,-0.006315197714515976,0.8181455039219251,0.21375006561359866,0.32682708251528836,-1.1927131453170492,-0.7565979315044454,0.9482718792017722
3,5,0.0004922184872715772,1.0415455470114316,-0.22773463018671222,0.19799738257297028,0.2778564266814587,0.24783075027989687,0.9529746570807714
4,1,0.007819759763586828,1.2214211927127256,0.9207460803605068,-0.6364201338512365,0.4181079287289719,0.30497811079586556,0.9463088521404771
4,2,0.0019807290615378582,1.0189275784422949,0.8650736494814593,-0.2999559299268191,0.03829297255598563,0.07074681616884881,0.9703719997268381
4,3,-0.0063229986617378,0.9867350959526694,0.5479667921907909,-0.33981218251132417,-0.1018876504954661,-0.055782161667186095,0.9530718362346693
4,4,-0.001868727184111588,0.8823523993760936,0.24177074167616694,0.16861646529029867,-0.7589060407868261,-0.6539652810629519,0.9365879579138834
4,5,0.006901566858133041,0.9801982092491504,-0.3910052677158822,-0.3249804588264159,0.37727245761843003,0.22410676644440092,0.8872239562843821
5,1,-0.0033345588635712306,1.097247909846519,1.2236215280671487,0.04516212540221906,-0.014142978573238794,-0.4802450010681693,0.9697113568201433
5,2,-0.004475612182034844,0.863882653655545,0.6365902828186497,-0.17123562784862198,-0.07004601421842785,-0.41581286201322454,0.9323920664821534
5,3,-0.009787235330950814,0.7649170491825328,0.6317828754653418,0.623114398154047,-0.8463914737378757,-1.1074161087805268,0.9230347294691271
5,4,-0.006884695621906166,0.6845284555814656,0.15393265892072952,0.1647089411307885,-1.0801952296688566,-1.0346485583932572,0.9677237903946415
5,5,0.00112297605192819,1.2238993399489562,-0.19901050856565058,-0.4737914656428798,0.19472713124458374,-0.6464563380838404,0.9170172634573388
