Size,OP,Const,Mktrf,SMB,HML,RMW,CMA,R-squared
1,1,0.016826709824926588,0.9849250043236358,1.1703808527093813,-0.8833198849314743,0.4086537358990855,0.9846148586819241,0.9600740840472486
1,2,0.003450724147532494,0.9158355077921431,0.8761175309651509,-0.14026524811556113,-0.5423437046059849,0.08285454083505922,0.9773320044948381
1,3,-0.004740716628609986,0.8683856205747968,0.5232856719518535,0.09577178269822897,-0.569872034934698,-0.01781048971919974,0.9785412054774025
1,4,-0.009537017783312814,0.8206745774945439,0.15378823663317248,0.6264359229819367,-1.798460776051052,-0.8868728271956401,0.9290316458449034
1,5,0.0019466225483274688,1.3077598003092294,-0.9355642086528928,-0.6524747758368752,-1.1704772960276544,0.1164121396182713,0.8891860619447671
2,1,0.003416392483188308,1.0081681193156002,1.0529311751661847,-0.3027167361355092,0.2774150808221056,0.518634909438421,0.9757993143994148
2,2,0.0012257327732891126,1.1198385328798766,0.5541750124540304,-0.6589452763713146,-0.026915102166405205,0.524906394455368,0.9834840406837507
2,3,-0.00714435298773438,0.7085117448791627,0.2966454715901702,0.21231294219668737,-1.013857076726711,-0.36544890908937677,0.922813148114013
2,4,-0.005826659949959557,0.8003813568678243,-0.11317044024751197,-0.02959444593177285,-1.3534566700431925,-0.30494658370752553,0.9510235092905853
2,5,-0.005469305552550142,1.3081283117203237,-0.26339058170782514,0.3765281841374271,-0.7741752999044769,-0.0672835111108514,0.9048659542211818
3,1,-0.002860736999912056,1.2737403428152376,1.0727867856036546,-0.28129528181554725,0.3302325160250018,0.22617289657633993,0.9844245102721444
3,2,-0.005140994652050515,1.137874080532098,0.9459106443871066,-0.04343369778730449,-0.003973762483860664,-0.22315904427105746,0.9571547645117364
3,3,-0.008847992302556212,1.1499133674567399,0.6320272417410959,-0.04279134317297095,-0.23615867455832124,-0.19405326054116045,0.9538184140059934
3,4,-0.008957984983857966,0.759826580944829,0.2513320256646234,0.7015635289932364,-1.2728009047108064,-1.1161663762085028,0.8913747629124557
3,5,8.904961604391543e-05,0.5857537811012177,-0.408594691120547,-0.5336089072787115,0.1299777928928948,0.9057102251338525,0.6083549595052729
4,1,-9.201946426848351e-05,1.1445067123984043,1.0097701657235787,-0.46324583724397517,0.3173561271772759,0.127798971136458,0.949871860559307
4,2,0.003415033914855604,0.6862950692172597,0.5256456560009085,-0.05462358467268524,-0.18734900665263146,-0.06915936790296226,0.797016202139669
4,3,-0.004518909563217497,0.9087022425789403,0.7267274940721933,0.31296778907520845,-0.3177713036468315,-0.4915067784181883,0.96102875780549
4,4,-0.0010195870383562485,0.8779203786843949,0.4539682819142422,0.02834079880255197,-0.4044929943361295,-0.5149328547263488,0.950522748672208
4,5,-0.0019508345113552492,1.1751844662177218,0.06853915498394345,0.3561180935150597,0.003057582967048389,-0.1794558999387198,0.8797909428147409
5,1,0.003160193758897026,0.8348167420718293,0.9480577836021765,0.21653933751286675,-0.3161275781309004,-0.6783768561531821,0.8843518046023914
5,2,2.172281460148355e-05,0.8903922923522292,0.5622539764390875,-0.506211195540334,0.31833337747276214,0.32288122737893077,0.9276829653499061
5,3,-0.0064712166508995046,0.9048330709724866,0.381429822516558,-0.01030194252592731,-0.2721807697122327,-0.3540193696248459,0.8078768612664111
5,4,-0.0035808962739895677,0.7581312974776175,0.12682398138587206,0.3546328450418874,-0.9135799318005646,-0.8380466110310549,0.8880912975819928
5,5,0.004408401799791585,1.0423246522189178,-0.34424838643019573,-0.17515663652603297,0.5772826519129615,0.2294667205051612,0.9608610780660152
