Size,OP,Const_p,Mktrf_p,SMB_p,HML_p,RMW_p,CMA_p
1,1,0.0010498750184165326,1.3156656206951337e-05,5.940416514444926e-05,0.03296426002784502,0.2384412622170489,0.024766365976219805
1,2,0.22520680642325266,4.037651299911812e-07,2.1576483812588724e-05,0.58452749394305,0.030477430466367184,0.7569603360130402
1,3,0.034503986463794135,2.2408910067899534e-08,0.00017053425271398235,0.6140112672548027,0.0043689921961055705,0.9283288200612778
1,4,0.05513893247892758,0.00024267549023983576,0.5096309523191485,0.1577331246489064,0.00033535987290658195,0.06386633253547677
1,5,0.7594073628706745,6.212531874634295e-05,0.010230509342718545,0.27655677403703477,0.04002646143249384,0.849649189394377
2,1,0.1857430251531845,3.9648579951737676e-08,1.0109575680629637e-06,0.20281370313290403,0.19201215142654485,0.04711094896906718
2,2,0.5617279282736247,1.371755980162165e-09,0.00012668741262036225,0.004159857225572076,0.8764116273997612,0.020531633627808018
2,3,0.08052363868616293,0.0001757923031967746,0.14028131578406292,0.552284854896594,0.006181253218359953,0.3345223200379648
2,4,0.10950324660346472,1.973005673508407e-05,0.5170412147113308,0.9261269731575833,0.000322515758246946,0.36952919295897657
2,5,0.2782376091362801,4.724379087219644e-06,0.29647359347366814,0.413939918477519,0.07400084873403644,0.8877677558645897
3,1,0.18324567828425153,2.4067889931801176e-10,9.940030316835262e-08,0.15815008457626287,0.07073010752650973,0.27125022400758625
3,2,0.12379999084233216,1.7040535621246767e-07,4.1440881470711516e-05,0.8825917516744567,0.9879246282472007,0.4733419273848213
3,3,0.013904115784215005,1.4561148278434988e-07,0.0013763263468322081,0.8839702089905221,0.3745028238113459,0.5307155295835533
3,4,0.053656230489078624,0.00025882658165437086,0.25603310145016706,0.09507685666916264,0.0029004647451310026,0.01708066551306296
3,5,0.9871321118936511,0.010574990335634775,0.15604753028276497,0.3052513324125679,0.7755794440389671,0.10750365692023697
4,1,0.9800466422891163,8.301679459225984e-07,8.857624266115327e-05,0.18772429611662397,0.30557683977493705,0.7201952698088157
4,2,0.5115814191981803,0.0024687028363694296,0.05857552317339021,0.9086923703191603,0.6607664583100373,0.8898012484339209
4,3,0.07840358595605103,9.150730637696648e-08,3.591412470470758e-05,0.17538428043412496,0.12720522953884808,0.051134437896427465
4,4,0.7047424554264996,4.6859535586151974e-07,0.004369651847685687,0.9089183705096375,0.08504103859778442,0.06417997364748879
4,5,0.6413970150652808,2.48368916837634e-06,0.7434298097304388,0.3628808866903963,0.9929048277805829,0.6576796455409768
5,1,0.5199273002688944,0.0003350267059357205,0.0016299831203179023,0.6316478920404269,0.43669429983704944,0.16594355716789289
5,2,0.9944511206105041,2.1884187202853754e-06,0.002868015714006296,0.09679915760048059,0.22976081732536652,0.29575195372173624
5,3,0.23884611890159896,0.000371535102805081,0.17009437505815272,0.9833362125949112,0.5397105874479853,0.4973246022181519
5,4,0.3616612128993222,9.846311242392069e-05,0.515599374948911,0.32890642699328465,0.011807100789690333,0.03955797555017345
5,5,0.05935680169804408,5.143282670821108e-09,0.006702940442811572,0.39000502061754205,0.005954663916517429,0.28636399665234874
