Size,OP,Const_t,Mktrf_t,SMB_t,HML_t,RMW_t,CMA_t
1,1,4.194702260062244,6.772872434246679,5.823424557733671,-2.385548509472318,1.2356816360253622,2.537605455944841
1,2,1.2733077125213883,9.32198505544907,6.452600954289667,-0.5607141569873711,-2.4274311140991887,0.31607869307079695
1,3,-2.3611063103276013,11.930316546462992,5.201872456403945,0.5167463612993908,-3.442691245629214,-0.09170714762519086
1,4,-2.1066879229021183,5.00064922381946,0.6780473784182927,1.499106813089427,-4.818787419280401,-2.0253717183143953
1,5,0.31278202644523084,5.796366274073682,-3.000426199746393,-1.1357744027769987,-2.2812465116583116,0.1933811285053546
2,1,1.3972087715320436,11.373504501673448,8.594939836493166,-1.3412146496053874,1.3761722510647894,2.192860835223912
2,2,0.5955087811332153,15.00774966425604,5.373888138223983,-3.468247093812101,-0.1586125650448014,2.6365135904262362
2,3,-1.8951732133605792,5.184428118632943,1.57062692859422,0.6101418078666173,-3.262210089292695,-1.0022324372773779
2,4,-1.7180137592747198,6.5098611732853096,-0.6660230825475125,-0.09453344584658928,-4.840614593205795,-0.9295794547432897
2,5,-1.131619661014841,7.465973447401649,-1.087721843140766,0.8439837755226811,-1.942928384602147,-0.1439238353012883
3,1,-1.405752384062948,17.26551742676246,10.521886719024025,-1.4974821485298344,1.9683390719039784,1.1490190660029398
3,2,-1.6455788747606601,10.046934115968055,6.043255761590987,-0.15061445927421413,-0.015428462204309816,-0.7384852467719193
3,3,-2.840642917927558,10.183681988875076,4.05001859002258,-0.1488319381381353,-0.9196551244532776,-0.6440930780023036
3,4,-2.1216797575816657,4.964228726155899,1.1881373408559068,1.8001339275364157,-3.656614376643244,-2.733091791068929
3,5,0.016441139812967215,2.9832027462408486,-1.505711965373944,-1.0673116555222468,0.291083919182325,1.7288006672044909
4,1,-0.025495893275641415,8.747353432204983,5.5842181760125875,-1.3904979978613838,1.066563222044175,0.3660780327395551
4,2,0.6748726128412065,3.741152917403822,2.073333542340603,-0.11694328547351582,-0.4490837725632666,-0.14129720721473413
4,3,-1.9102958731269388,10.596352217330017,6.131798705343053,1.433292868050987,-1.6294117641063892,-2.148089036703151
4,4,-0.38738039678156955,9.201026090895379,3.442612608787461,0.11665241419295798,-1.864118525002205,-2.0226452348195667
4,5,-0.47683257715794886,7.923541359846429,0.3343748044074715,0.9429916321332981,0.009065106766887238,-0.4534809098705546
5,1,0.6613670556591545,4.81934253745103,3.960162123720444,0.49094626566041194,-0.8024914523643153,-1.4677620315985656
5,2,0.007089453842985305,8.015781562470345,3.6625075620892833,-1.7897680047837459,1.2601668331983102,1.0894197857683394
5,3,-1.2345569710608717,4.761693745428387,1.4524097405968306,-0.021291812316534695,-0.6298422914067991,-0.6982452662161801
5,4,-0.9454707871584207,5.521646475478318,0.6683547934418648,1.0143869189407055,-2.925850347189468,-2.2876012600297577
5,5,2.06600477605081,13.474757490105272,-3.2201149427852807,-0.8892933762235558,3.281616608456997,1.111797359791619
